ID,F_Name,F_Type,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat
2770,Crompton Veterans Field,LP,Hepburn,West Warwick,MUN,CIN,MUN,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.52568054000,41.68905639000
2771,Franciscan Park,LP,Ridge,Providence,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.43685913000,41.81907653000
2772,Thunder Mist Overlook,LP,River,Woonsocket,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-71.51758575000,42.00001144000
2773,Blackstone River Park,LP,High,Central Falls,MUN,CIN,MUN,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.38679504000,41.89863586000
2774,Public St. Basketball Court,AF,Public,Providence,MUN,CIN,MUN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.40977478000,41.80700302000
2776,Curtis Corner Playfields,AF,Curtis Corner,South Kingstown,MUN,CIN,MUN,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.52194976000,41.46387481000
2777,Bouley Field,AF,Social,Woonsocket,MUN,CIN,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.50582885000,42.00952148000
2786,Spring Lake Beach,LP,Hillside,Burrillville,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.65743255000,41.98682403000
2788,Globe Park,LP,Coe,Woonsocket,MUN,CIN,MUN,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-71.52706909000,41.98944091000
2789,Manville Memorial Park,LP,High,Lincoln,MUN,CIN,MUN,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-71.47804260000,41.96587753000
2791,Greatroad Gateway,LP,Front,Lincoln,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.41950225000,41.90353775000
2795,Tasca Field,AF,Washington Highway,Scituate,MUN,EAS,NGO,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.57127380000,41.83630371000
2806,Island Park Playground,LP,Highland,Portsmouth,MUN,EAS,FED,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.23396301000,41.62577819000
2808,Howland Park,LP,Wapping,Middletown,MUN,CIN,MUN,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.25585174000,41.51374053000
2809,Jamestown Town Pier,LP,Conanicus,Jamestown,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.36679077000,41.49643325000
2810,Jamestown Town Golf Course,AF,Conanicus,Jamestown,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.37047576000,41.50491333000
2811,Potter Cove Access,FB,Bayview,Jamestown,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.35974884000,41.51020050000
2812,Roger Williams Square,LP,Gano,Providence,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.39049530000,41.82350158000
2815,Warwick Continental Little League,AF,Greenwich,Warwick,MUN,CIN,MUN,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.46933746000,41.71028518000
2819,Shovlin Park,LP,Middle,East Greenwich,MUN,CIN,MUN,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-71.53432464000,41.64096069000
2820,Yorktown Park,LP,Yorktown,North Kingstown,MUN,CIN,MUN,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.45997619000,41.61198425000
2821,Green Conservation Area,CA,Hamilton Allenton,North Kingstown,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.45036315000,41.55136871000
2855,Fanning Wilderness Area,CA,Jones,Cumberland,MUN,FEE,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.39785766000,41.90224075000
2852,Freedom Green Park,LP,North Broadway,East Providence,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.35998535000,41.83300781000
2851,Senior Center Soccer Field,AF,Payette,East Providence,MUN,CIN,MUN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.35655212000,41.81842041000
2850,Rose Garden Playground & Soccer Area,AF,Brown,East Providence,MUN,EAS,FED,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.36764526000,41.80782318000
2849,Rose Larisa Memorial Park,LP,Bullocks Point,East Providence,MUN,NON,NON,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.36093139000,41.75674057000
