trail_id,trail_name,steward_id,trail_segment_id,Type,trail_rating,hike,bike,horse,ski,motor,accessible,Comments,length,geometry
,,,16,Single Track,,,,,,,,None,731.4837757,
,,,17,Single Track,,,,,,,,None,917.8731956,
,,,18,Double Track,,,,,,,,None,290.6322761,
,,,19,Double Track,,,,,,,,None,2481.601432,
,,,20,Double Track,,,,,,,,None,233.4221685,
,,,21,Double Track,,,,,,,,None,3442.519852,
,,,22,Double Track,,,,,,,,None,2236.777173,
,,,23,Double Track,,,,,,,,None,691.1017235,
,,,24,Double Track,,,,,,,,None,1013.717627,
,,,25,Double Track,,,,,,,,None,184.0078241,
,,,26,Double Track,,,,,,,,None,310.9131104,
,,,27,Double Track,,,,,,,,None,575.7493935,
,,,28,Double Track,,,,,,,,None,1994.260517,
,,,29,Double Track,,,,,,,,None,1763.299633,
,,,31,Double Track,,,,,,,,None,356.9060445,
,,,32,Gravel Road,,,,,,,,None,5759.938641,
,,,33,Gravel Road,,,,,,,,None,10681.77528,
,,,34,Gravel Road,,,,,,,,None,223.4035917,
,,,35,Gravel Road,,,,,,,,None,428.3261319,
,,,36,Gravel Road,,,,,,,,None,1831.036907,
,,,37,Gravel Road,,,,,,,,None,390.6093694,
,,,38,Gravel Road,,,,,,,,None,940.9307648,
,,,39,Gravel Road,,,,,,,,None,873.6371055,
,,,40,Gravel Road,,,,,,,,None,1293.4949,
,,,41,Gravel Road,,,,,,,,poor condition,1250.161182,
,,,42,Gravel Road,,,,,,,,poor condition,3678.867993,
,,,43,Gravel Road,,,,,,,,poor condition,1340.313379,
,,,44,Double Track,,,,,,,,poor condition,3142.012917,
,,,45,Double Track,,,,,,,,None,7477.731549,
,,,46,Double Track,,,,,,,,None,2059.233819,
,,,47,Double Track,,,,,,,,None,2215.078932,
,,,48,Double Track,,,,,,,,None,1370.965032,
,,,49,Double Track,,,,,,,,None,135.8296004,
,,,50,Double Track,,,,,,,,None,3314.82776,
,,,51,Double Track,,,,,,,,None,996.1367406,
,,,52,Double Track,,,,,,,,None,1236.119059,
,,,53,Double Track,,,,,,,,None,571.9253771,
,,,54,Double Track,,,,,,,,None,243.2387478,
,,,55,Double Track,,,,,,,,None,2624.347904,
,,,56,Double Track,,,,,,,,None,2317.830982,
,,,57,Double Track,,,,,,,,None,357.377196,
,,,58,Double Track,,,,,,,,None,1061.133542,
,,,60,Double Track,,,,,,,,None,316.9423887,
,,,62,Single Track,,,,,,,,None,448.2303491,
,,,63,Single Track,,,,,,,,NORTH SOUTH TRAIL,1686.918513,
,,,64,Single Track,,,,,,,,NORTH SOUTH TRAIL,3195.059577,
,,,65,Double Track,,,,,,,,None,922.3007169,
,,,67,Double Track,,,,,,,,"Gormley, yellow blaze",570.6488899,
,,,69,Double Track,,,,,,,,None,1999.037017,
,,,70,Double Track,,,,,,,,None,757.2748173,
,,,72,Single Track,,,,,,,,COOP,3950.120308,
,,,73,Single Track,,,,,,,,COOP,408.741826,
,,,74,Single Track,,,,,,,,COOP,1988.576197,
,,,75,Single Track,,,,,,,,COOP,565.6072506,
,,,76,Single Track,,,,,,,,COOP,1218.117083,
,,,77,Single Track,,,,,,,,COOP,5525.949668,
,,,78,Single Track,,,,,,,,COOP,5858.854933,
,,,79,Double Track,,,,,,,,COOP,450.4341556,
,,,80,Gravel Road,,,,,,,,COOP,3597.186248,
,,,81,Double Track,,,,,,,,COOP,2578.447592,
,,,82,Double Track,,,,,,,,COOP,1662.263386,
,,,84,Gravel Road,,,,,,,,None,1687.490962,
,,,85,Double Track,,,,,,,,None,585.7128377,
,,,88,Double Track,,,,,,,,dead end,2873.213617,
,,,89,Double Track,,,,,,,,None,1582.673386,
,,,90,Single Track,,,,,,,,"needs work, blowdowns",2205.015513,
,,,91,Double Track,,,,,,,,None,1020.122783,
,,,92,Double Track,,,,,,,,Private,1521.059888,
,,,93,Double Track,,,,,,,,None,531.3869044,
,,,95,Double Track,,,,,,,,None,2821.958636,
,,,96,Double Track,,,,,,,,None,1520.479541,
,,,97,Single Track,,,,,,,,None,719.336575,
,,,98,Double Track,,,,,,,,None,1729.70243,
,,,99,Gravel Road,,,,,,,,None,3797.805734,
,,,101,Gravel Road,,,,,,,,None,3853.805686,
,,,102,Gravel Road,,,,,,,,None,1194.582487,
,,,106,Gravel Road,,,,,,,,None,1241.928138,
